epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.26,1.35856,2.4689,1.23888,0.506,0.57405,0.5516,0.33666,1.30444,1.98983,1.28917,0.000658537,0.000658537,0.000658537
2,1217,1.37639,1.71898,1.29611,0.53953,0.50549,0.50286,0.27578,1.39256,1.88147,1.38138,0.00129896,0.00129896,0.00129896
3,1761.26,1.38687,1.74104,1.29039,0.41882,0.51923,0.37351,0.19515,1.53631,2.22675,1.42753,0.00191299,0.00191299,0.00191299
4,2297.15,1.41817,1.74661,1.31949,0.43576,0.47527,0.41934,0.21929,1.49119,1.91712,1.45192,0.0018812,0.0018812,0.0018812
5,2841.38,1.41189,1.73169,1.32133,0.4398,0.4594,0.42264,0.23675,1.539,1.82021,1.49274,0.0018416,0.0018416,0.0018416
6,3377.74,1.45683,1.7305,1.34876,0.47263,0.5,0.47483,0.25445,1.46756,1.79208,1.44887,0.001802,0.001802,0.001802
7,3918.92,1.47027,1.76233,1.35866,0.42093,0.58791,0.4647,0.227,1.55639,1.77314,1.44588,0.0017624,0.0017624,0.0017624
8,4458.54,1.40299,1.68264,1.3144,0.50869,0.5467,0.50767,0.28511,1.40786,1.68845,1.39941,0.0017228,0.0017228,0.0017228
9,4995.62,1.39963,1.6163,1.32406,0.44734,0.55592,0.44625,0.25935,1.43819,1.71532,1.42157,0.0016832,0.0016832,0.0016832
10,5536.18,1.3907,1.59157,1.28715,0.45406,0.62912,0.54601,0.31381,1.3449,1.67276,1.33846,0.0016436,0.0016436,0.0016436
11,6069.2,1.34829,1.59894,1.25654,0.5217,0.56044,0.54194,0.30785,1.3857,1.78133,1.3954,0.001604,0.001604,0.001604
12,6602.57,1.39469,1.56732,1.28828,0.52483,0.57967,0.54645,0.30224,1.38722,1.62884,1.33159,0.0015644,0.0015644,0.0015644
13,7134.61,1.34098,1.57968,1.27237,0.54106,0.57327,0.53401,0.31389,1.35937,1.55853,1.36129,0.0015248,0.0015248,0.0015248
14,7672.69,1.37818,1.56997,1.28179,0.50947,0.59615,0.55465,0.31287,1.43329,1.60643,1.3727,0.0014852,0.0014852,0.0014852
15,8203.42,1.38332,1.55805,1.28533,0.50637,0.57491,0.49616,0.28682,1.37172,1.60474,1.35695,0.0014456,0.0014456,0.0014456
16,8736.62,1.33394,1.48735,1.25892,0.563,0.64835,0.59842,0.35855,1.40538,1.5324,1.38914,0.001406,0.001406,0.001406
17,9267.7,1.30203,1.46816,1.23798,0.57815,0.60165,0.5954,0.33517,1.36993,1.50689,1.34693,0.0013664,0.0013664,0.0013664
18,9818.5,1.30678,1.4327,1.23616,0.63703,0.56413,0.60141,0.34312,1.38339,1.5501,1.38047,0.0013268,0.0013268,0.0013268
19,10360.3,1.28165,1.4632,1.23378,0.51107,0.60714,0.57544,0.32769,1.404,1.54723,1.35496,0.0012872,0.0012872,0.0012872
20,10906.4,1.29719,1.43609,1.23977,0.60325,0.56868,0.59691,0.34543,1.35688,1.49988,1.3539,0.0012476,0.0012476,0.0012476
21,11444.8,1.26844,1.40254,1.22451,0.54477,0.59066,0.5729,0.34351,1.29121,1.5158,1.31422,0.001208,0.001208,0.001208
22,11982.2,1.28059,1.37466,1.22651,0.51211,0.65385,0.58015,0.34728,1.33196,1.42667,1.31435,0.0011684,0.0011684,0.0011684
23,12520.3,1.25936,1.40556,1.21121,0.6005,0.61264,0.60346,0.36468,1.34673,1.46304,1.31386,0.0011288,0.0011288,0.0011288
24,13057.8,1.27078,1.36694,1.21347,0.57392,0.62088,0.59141,0.36644,1.38201,1.44096,1.35238,0.0010892,0.0010892,0.0010892
25,13590.7,1.24581,1.32831,1.20307,0.5382,0.63075,0.60305,0.36558,1.37304,1.44676,1.33041,0.0010496,0.0010496,0.0010496
26,14158.5,1.247,1.31663,1.19533,0.56638,0.58516,0.5802,0.3655,1.30045,1.49595,1.29555,0.00101,0.00101,0.00101
27,14707.2,1.2162,1.30103,1.18563,0.67059,0.58791,0.62685,0.3963,1.31588,1.41044,1.3002,0.0009704,0.0009704,0.0009704
28,15242.6,1.20088,1.29532,1.16446,0.58879,0.62088,0.61092,0.38318,1.30135,1.43618,1.30189,0.0009308,0.0009308,0.0009308
29,15780.5,1.20794,1.27279,1.18144,0.51751,0.64835,0.58372,0.35208,1.34543,1.46625,1.32545,0.0008912,0.0008912,0.0008912
