epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,16341.6,1.18571,1.24844,1.15449,0.63556,0.6044,0.62731,0.38964,1.33661,1.39546,1.31434,0.0008516,0.0008516,0.0008516
31,16871.2,1.18607,1.23373,1.17287,0.55851,0.65685,0.60173,0.38515,1.25486,1.40349,1.24493,0.000812,0.000812,0.000812
32,17411.3,1.15868,1.19436,1.15076,0.62735,0.65385,0.64807,0.40744,1.31946,1.34714,1.28566,0.0007724,0.0007724,0.0007724
33,17955.2,1.18463,1.21336,1.16402,0.62522,0.60714,0.63429,0.4059,1.27924,1.39002,1.24284,0.0007328,0.0007328,0.0007328
34,18511.7,1.17457,1.21618,1.15446,0.6113,0.66758,0.64954,0.39692,1.34307,1.35336,1.29191,0.0006932,0.0006932,0.0006932
35,19044,1.15389,1.19016,1.14045,0.62163,0.66758,0.64603,0.40494,1.34271,1.30211,1.32855,0.0006536,0.0006536,0.0006536
36,19568.3,1.14812,1.18481,1.14792,0.58067,0.62009,0.59104,0.36231,1.35235,1.39133,1.33266,0.000614,0.000614,0.000614
37,20106.6,1.12181,1.15601,1.13527,0.62563,0.66758,0.65787,0.40953,1.30576,1.32665,1.27957,0.0005744,0.0005744,0.0005744
38,20649.2,1.11149,1.13952,1.12902,0.67515,0.64835,0.66781,0.42183,1.31369,1.33471,1.27812,0.0005348,0.0005348,0.0005348
39,21199.5,1.13709,1.14635,1.14757,0.6571,0.6265,0.65671,0.41494,1.27954,1.3413,1.27143,0.0004952,0.0004952,0.0004952
40,21767.6,1.1165,1.10816,1.1331,0.63383,0.65148,0.63692,0.41295,1.28333,1.31791,1.27778,0.0004556,0.0004556,0.0004556
41,22303.5,1.01994,1.00615,1.08556,0.61943,0.62088,0.61357,0.39558,1.2553,1.37952,1.25066,0.000416,0.000416,0.000416
42,22836,1.03155,0.95222,1.08565,0.65706,0.68681,0.66285,0.42755,1.28733,1.31124,1.27889,0.0003764,0.0003764,0.0003764
43,23367.7,1.00536,0.93325,1.06651,0.68139,0.61538,0.66085,0.42862,1.28604,1.29255,1.26414,0.0003368,0.0003368,0.0003368
44,23900.6,0.99926,0.90642,1.07762,0.65861,0.66781,0.69354,0.43381,1.30668,1.28177,1.28872,0.0002972,0.0002972,0.0002972
45,24433.4,0.99158,0.87525,1.06174,0.64419,0.68132,0.6783,0.43409,1.30374,1.30586,1.28914,0.0002576,0.0002576,0.0002576
46,24972.5,0.96447,0.88011,1.04144,0.67516,0.66209,0.66917,0.42863,1.31544,1.30476,1.29092,0.000218,0.000218,0.000218
47,25515.5,0.97504,0.86654,1.04754,0.6613,0.69231,0.68707,0.43656,1.30482,1.27968,1.29232,0.0001784,0.0001784,0.0001784
48,26076.1,0.96323,0.85871,1.03764,0.64649,0.68681,0.68339,0.43738,1.31337,1.27871,1.3029,0.0001388,0.0001388,0.0001388
49,26641,0.94177,0.83683,1.02958,0.67324,0.69055,0.6861,0.44761,1.30876,1.25081,1.29656,9.92e-05,9.92e-05,9.92e-05
50,27192.5,0.93979,0.81904,1.02627,0.65499,0.69231,0.69095,0.44397,1.30734,1.2639,1.29038,5.96e-05,5.96e-05,5.96e-05
